team_name,city,season,lat,lon,radius_km,n_tweets,n_metros
Arizona Cardinals,Phoenix,2011,33.4483,-112.0725,410.0069396937926,369,92
Arizona Cardinals,Phoenix,2012,33.4483,-112.0725,408.5592404604552,463,116
Arizona Cardinals,Phoenix,2013,33.4483,-112.0725,185.15804473712132,732,149
Arizona Cardinals,Phoenix,2014,33.4483,-112.0725,419.02222513546144,609,121
Arizona Cardinals,Phoenix,overall,33.4483,-112.0725,411.50204399757257,2173,233
Atlanta Falcons,Atlanta,2011,33.7501,-84.3885,189.42978568277798,378,99
Atlanta Falcons,Atlanta,2012,33.7501,-84.3885,210.12586127544668,1874,215
Atlanta Falcons,Atlanta,2013,33.7501,-84.3885,162.42432884593677,1261,187
Atlanta Falcons,Atlanta,2014,33.7501,-84.3885,231.08272720462634,1608,193
Atlanta Falcons,Atlanta,overall,33.7501,-84.3885,164.06798573083822,5121,302
Baltimore Ravens,Baltimore,2011,39.2904,-76.6104,86.84307141285423,876,139
Baltimore Ravens,Baltimore,2012,39.2904,-76.6104,129.066076799418,5409,318
Baltimore Ravens,Baltimore,2013,39.2904,-76.6104,186.2577400349153,1797,217
Baltimore Ravens,Baltimore,2014,39.2904,-76.6104,144.62526339852425,2272,228
Baltimore Ravens,Baltimore,overall,39.2904,-76.6104,121.16741611454559,10354,351
Buffalo Bills,Buffalo,2011,42.8869,-78.8789,283.76020346159737,387,77
Buffalo Bills,Buffalo,2012,42.8869,-78.8789,270.0412253598716,790,102
Buffalo Bills,Buffalo,2013,42.8869,-78.8789,285.169894596876,1147,130
Buffalo Bills,Buffalo,2014,42.8869,-78.8789,252.91555727964845,1648,151
Buffalo Bills,Buffalo,overall,42.8869,-78.8789,229.5722930407053,3972,221
Carolina Panthers,Charlotte,2011,35.2271,-80.8409,461.6250868111583,173,53
Carolina Panthers,Charlotte,2012,35.2271,-80.8409,299.6431269093044,528,105
Carolina Panthers,Charlotte,2013,35.2271,-80.8409,284.09019046049116,2050,218
Carolina Panthers,Charlotte,2014,35.2271,-80.8409,215.50117764968948,1741,204
Carolina Panthers,Charlotte,overall,35.2271,-80.8409,146.80621195702793,4492,281
Chicago Bears,Chicago,2011,41.8832,-87.6324,374.0811564027961,558,110
Chicago Bears,Chicago,2012,41.8832,-87.6324,196.1421660095087,1665,192
Chicago Bears,Chicago,2013,41.8832,-87.6324,264.8659469627991,2979,233
Chicago Bears,Chicago,2014,41.8832,-87.6324,174.11066048260213,2850,235
Chicago Bears,Chicago,overall,41.8832,-87.6324,209.7777995147256,8052,313
Cincinnati Bengals,Cincinnati,2011,39.1031,-84.512,142.77903238022665,264,62
Cincinnati Bengals,Cincinnati,2012,39.1031,-84.512,360.9585686377636,557,107
Cincinnati Bengals,Cincinnati,2013,39.1031,-84.512,298.57376676906597,1492,182
Cincinnati Bengals,Cincinnati,2014,39.1031,-84.512,345.50626231677296,1330,170
Cincinnati Bengals,Cincinnati,overall,39.1031,-84.512,193.14710165015768,3643,260
Cleveland Browns,Cleveland,2011,41.4993,-81.6944,474.1542074385014,228,56
Cleveland Browns,Cleveland,2012,41.4993,-81.6944,179.80275948076243,743,108
Cleveland Browns,Cleveland,2013,41.4993,-81.6944,164.62666445376678,1502,164
Cleveland Browns,Cleveland,2014,41.4993,-81.6944,161.77917440457657,2218,170
Cleveland Browns,Cleveland,overall,41.4993,-81.6944,144.26156777186094,4691,242
Dallas Cowboys,Dallas,2011,32.7767,-96.797,306.1969334053617,1038,170
Dallas Cowboys,Dallas,2012,32.7767,-96.797,99.36792325873584,2650,254
Dallas Cowboys,Dallas,2013,32.7767,-96.797,113.9798027513944,4193,293
Dallas Cowboys,Dallas,2014,32.7767,-96.797,358.32453505545254,6761,318
Dallas Cowboys,Dallas,overall,32.7767,-96.797,366.4340446518631,14642,354
Denver Broncos,Denver,2011,39.7392,-104.9903,533.3509173076687,795,159
Denver Broncos,Denver,2012,39.7392,-104.9903,533.3303393867432,1761,236
Denver Broncos,Denver,2013,39.7392,-104.9903,573.918954908683,7509,336
Denver Broncos,Denver,2014,39.7392,-104.9903,750.1520737192664,2788,251
Denver Broncos,Denver,overall,39.7392,-104.9903,475.8045819015344,12853,361
Detroit Lions,Detroit,2011,42.3297,-83.0425,162.92639577476976,780,132
Detroit Lions,Detroit,2012,42.3297,-83.0425,145.52952999912293,862,139
Detroit Lions,Detroit,2013,42.3297,-83.0425,236.32058287783795,1953,217
Detroit Lions,Detroit,2014,42.3297,-83.0425,144.33347380368676,2444,228
Detroit Lions,Detroit,overall,42.3297,-83.0425,194.23550340329308,6039,306
Green Bay Packers,Green Bay,2011,44.5133,-88.0133,277.5370391667584,916,158
Green Bay Packers,Green Bay,2012,44.5133,-88.0133,253.52612855650037,1992,228
Green Bay Packers,Green Bay,2013,44.5133,-88.0133,347.8241307909891,3387,271
Green Bay Packers,Green Bay,2014,44.5133,-88.0133,302.0033064889711,5521,309
Green Bay Packers,Green Bay,overall,44.5133,-88.0133,207.18122842140437,11816,354
Houston Texans,Houston,2011,29.7601,-95.3701,409.2505989769136,494,93
Houston Texans,Houston,2012,29.7601,-95.3701,315.80672556406824,1877,174
Houston Texans,Houston,2013,29.7601,-95.3701,325.5917494843214,1588,165
Houston Texans,Houston,2014,29.7601,-95.3701,417.6428366582144,1324,155
Houston Texans,Houston,overall,29.7601,-95.3701,213.10330438114354,5283,278
Indianapolis Colts,Indianapolis,2011,39.7691,-86.158,271.7390962215998,351,90
